track_name,danceability,energy,valence,tempo,loudness,acousticness,instrumentalness,liveness,speechiness
Police Insanity,0.122,0.942,0.725,182.199,-5.851,3.63e-05,0.655,0.0748,0.0968
Though You Slay Me,0.426,0.431,0.332,113.463,-8.083,0.389,0.0,0.148,0.0287
"Daisy, Daisy",0.291,0.0708,0.0373,114.128,-21.7,0.965,0.942,0.0948,0.0429
Untitled (How Does It Feel),0.838,0.304,0.221,112.618,-9.975,0.16,0.0257,0.0828,0.0628
Armor,0.528,0.684,0.31,155.947,-6.266,0.157,0.0,0.0997,0.0331
Blackwater - Remastered 2003,0.659,0.413,0.588,161.905,-14.916,0.539,0.56,0.0904,0.0377
House Organ,0.321,0.931,0.343,125.024,-5.603,0.000569,0.096,0.344,0.05
All Eyes on You (feat. Chris Brown & Nicki Minaj),0.589,0.658,0.251,77.521,-5.288,0.0242,0.0,0.118,0.203
In A Manner Of Speaking,0.805,0.337,0.643,119.982,-12.664,0.755,0.00779,0.11,0.0362
Jackie Chan,0.749,0.641,0.409,140.08,-5.268,0.538,0.0,0.0775,0.0444
Easy Way Out,0.875,0.483,0.443,105.023,-9.275,0.201,0.0113,0.151,0.0918
The Alphabet Song,0.529,0.538,0.797,82.517,-11.549,0.383,7.45e-06,0.328,0.0265
Putting The Dog To Sleep,0.476,0.405,0.0795,137.019,-10.543,0.496,0.0521,0.208,0.0355
Soul Shake Down Party,0.864,0.384,0.841,131.125,-13.225,0.265,2.71e-06,0.105,0.0663
Sunday (B-Sides),0.687,0.63,0.108,126.004,-9.82,0.159,0.953,0.105,0.0461
Adieu ces bons vins de Lannoys,0.327,0.0386,0.192,69.175,-23.36,0.991,0.00918,0.0591,0.0483
As The Snow,0.527,0.489,0.694,147.609,-8.776,0.383,0.0,0.0961,0.0366
What You Want,0.68,0.909,0.809,147.927,-4.74,0.0779,0.0,0.378,0.0822
Strange Feeling,0.435,0.33,0.867,173.526,-15.266,0.788,0.000544,0.118,0.03
Un Corillo de Palgas,0.86,0.905,0.697,95.033,-1.721,0.11,0.000188,0.0718,0.0752
...Girl,0.779,0.74,0.458,176.061,-9.084,0.182,0.806,0.0877,0.424
Homecoming Heroes,0.458,0.717,0.465,133.637,-8.009,0.257,0.222,0.0976,0.0293
Colonoscopy,0.555,0.879,0.24,150.006,-8.547,0.806,0.0,0.852,0.959
Meet the Monster,0.565,0.922,0.393,130.025,-4.936,0.000242,0.0,0.112,0.117
"Flex (Ooh, Ooh, Ooh)",0.728,0.62,0.885,81.998,-7.533,0.038,0.0,0.342,0.0434
Rocks,0.653,0.581,0.116,83.96,-10.909,0.229,6.28e-06,0.115,0.0695
"This Is Berk - From ""How To Train Your Dragon""",0.255,0.489,0.3,123.267,-9.459,0.512,0.808,0.229,0.0587
Seven,0.641,0.531,0.194,135.564,-7.243,0.0492,0.0,0.118,0.157
Aisha,0.163,0.14,0.18,169.381,-19.712,0.428,0.955,0.0999,0.0373
Promise Me,0.591,0.797,0.351,104.014,-4.675,0.00462,1.3e-06,0.137,0.0297
Time Served (Live),0.401,0.771,0.776,95.494,-8.031,0.389,0.00731,0.916,0.117
"Lucia di Lammermoor / Act 1: ""Regnava nel silenzio""",0.247,0.138,0.0393,78.005,-18.226,0.982,0.000208,0.255,0.0779
"La Propuesta (feat. Amennazy, Secreto, Gio Rosse)",0.778,0.744,0.827,167.956,-3.778,0.0628,0.0,0.145,0.0937
March Of The Swivel Heads - Bonus Track,0.663,0.883,0.853,177.078,-6.133,0.174,0.74,0.262,0.216
Bad Company,0.557,0.886,0.17,114.025,-4.196,0.000595,9.84e-05,0.0904,0.0498
Do I Have to Talk You Into It,0.692,0.9,0.931,79.038,-4.273,0.112,5.44e-05,0.173,0.0972
"Bad Case Of Loving You (Doctor, Doctor)",0.677,0.748,0.746,146.03,-12.328,0.00701,3.99e-05,0.093,0.038
Just 'Cos You Can Don't Mean You Should,0.344,0.725,0.706,178.788,-5.368,0.000388,0.0146,0.112,0.032
Venus De Milo - Remastered,0.445,0.253,0.643,160.075,-11.574,0.933,0.42,0.102,0.05
Sunshine,0.797,0.31,0.89,76.987,-10.565,0.233,0.666,0.0903,0.12
Beyond Time,0.248,0.0527,0.102,138.673,-22.65,0.99,0.954,0.0853,0.0409
I Won't Hurt You,0.461,0.0972,0.774,130.691,-26.134,0.97,0.114,0.112,0.0402
Since We're Alone,0.709,0.68,0.818,126.961,-7.954,0.322,0.0,0.122,0.0348
#24,0.227,0.293,0.0337,138.386,-18.071,0.941,0.965,0.11,0.0447
Choose,0.663,0.715,0.607,77.024,-4.536,0.0211,2.6e-05,0.85,0.07
FML,0.667,0.423,0.156,125.116,-7.146,0.313,0.0,0.193,0.0822
Please Don't Judge Me,0.699,0.502,0.687,142.006,-6.976,0.222,0.0,0.124,0.145
Leviathan,0.586,0.455,0.312,139.99,-10.141,0.302,0.0,0.581,0.167
Man On Fire,0.476,0.478,0.489,89.06,-11.766,0.779,0.117,0.103,0.0395
"Piano Sonata No. 14 In C Sharp Minor, Op. 27, No. 2 -""Moonlight"": 1. Adagio sostenuto - Live",0.108,0.0154,0.0906,66.12,-35.522,0.991,0.918,0.103,0.0505
Unchained Melody,0.376,0.159,0.283,95.34,-15.277,0.959,0.00397,0.0672,0.0277
Colour Me In,0.48,0.125,0.233,116.391,-14.061,0.817,0.000109,0.453,0.0333
Los Angeles,0.608,0.791,0.722,92.743,-5.441,0.0871,1.81e-06,0.0868,0.0306
Stick Out,0.77,0.853,0.615,164.037,-3.849,0.0042,0.000961,0.0936,0.221
So Will I,0.378,0.431,0.077,127.847,-9.339,0.102,4.49e-06,0.0776,0.0353
"Ecstasy of Gold from ""The Good, the Bad, and the Ugly""",0.203,0.22,0.0882,96.217,-18.93,0.826,0.604,0.161,0.0426
Midgets 2000,0.627,0.766,0.493,85.864,-4.993,0.806,0.0,0.679,0.95
Mona,0.479,0.569,0.886,105.513,-12.203,0.844,0.000196,0.0882,0.0341
Never Been Rocked Enough,0.503,0.657,0.749,170.224,-9.002,0.163,0.00189,0.264,0.0661
11.30,0.691,0.64,0.24,86.678,-5.563,0.0145,0.000498,0.0675,0.13
Amazed,0.284,0.262,0.153,148.119,-9.238,0.491,0.0,0.253,0.0304
Huarache Lights,0.715,0.64,0.4,113.507,-7.168,0.113,0.0418,0.0848,0.0317
覚醒,0.537,0.91,0.135,108.065,-4.455,0.112,5.07e-06,0.0922,0.181
Tonight (I'm Fuckin' You),0.674,0.87,0.26,125.943,-4.688,0.0283,6.3e-06,0.145,0.0452
German Love,0.556,0.614,0.542,94.917,-6.516,0.0077,0.486,0.118,0.0243
Ruby,0.473,0.309,0.37,120.168,-10.364,0.41,9.83e-06,0.143,0.0305
Go Outside,0.374,0.697,0.493,77.549,-6.758,0.115,0.893,0.343,0.0331
Mike Tyson,0.52,0.777,0.275,100.248,-10.811,0.803,0.0,0.778,0.894
Tom's Thumb,0.527,0.326,0.64,143.004,-11.085,0.698,0.000328,0.101,0.0358
La femme au milieu,0.478,0.263,0.168,105.518,-13.77,0.831,0.0235,0.113,0.0329
Padmé,0.209,0.301,0.0375,71.037,-11.716,0.88,0.938,0.112,0.0347
Psalm 63 (Live),0.532,0.632,0.262,72.992,-7.501,0.198,0.000559,0.279,0.0324
"Concerto in D Major for Violin and Orchestra, Op. 35: II. Canzonetta: Andante (attacca)",0.186,0.0488,0.0383,102.988,-29.752,0.928,0.519,0.103,0.0457
"Puccini: Madama Butterfly, Act 1: ""Ah! Ah! quanto cielo!...Ancora un passo or via"" (Butterfly, Sharpless, Chorus)",0.198,0.283,0.0664,77.027,-12.662,0.967,0.639,0.172,0.0353
Folha de Jurema,0.647,0.397,0.179,179.868,-13.234,0.718,0.0648,0.0974,0.0816
Subterranean,0.669,0.793,0.439,127.994,-6.898,0.0497,4.86e-05,0.142,0.153
You Are My King (Amazing Love),0.486,0.611,0.265,136.263,-7.847,0.391,0.000771,0.142,0.0327
Ireland & Health,0.655,0.694,0.225,114.986,-9.038,0.829,0.0,0.704,0.911
The Sacrifice,0.284,0.172,0.176,99.916,-21.391,0.984,0.854,0.0931,0.0348
Sing It Back,0.732,0.586,0.9,120.927,-7.934,0.72,0.0,0.337,0.0981
Stay The Same,0.589,0.557,0.545,99.987,-7.493,0.551,0.151,0.106,0.0421
Party On Da Weekend,0.884,0.534,0.849,105.021,-9.658,0.182,0.00128,0.269,0.094
Headlock,0.805,0.371,0.808,119.974,-10.721,0.8,0.0,0.12,0.0352
A la campagne,0.613,0.773,0.829,136.496,-6.173,0.272,5.63e-05,0.35,0.0309
Somos Amantes,0.638,0.781,0.438,167.917,-4.998,0.109,5.17e-05,0.283,0.111
"TAKE THE ""A"" TRAIN",0.463,0.44,0.834,166.555,-8.944,0.784,0.818,0.114,0.068
As You Are,0.623,0.797,0.373,164.006,-4.887,0.0386,0.000268,0.133,0.264
I Don't Wanna Stop,0.578,0.937,0.769,137.937,-3.926,0.000963,2.25e-06,0.4,0.0724
I And Love And You,0.494,0.268,0.162,70.223,-10.063,0.816,9.74e-05,0.076,0.0315
Leech Boy,0.723,0.304,0.376,115.208,-14.893,0.902,3.51e-06,0.11,0.194
Vamos Pa la Playa,0.656,0.705,0.968,66.387,-6.416,0.234,0.0,0.235,0.425
YaYaYa,0.482,0.279,0.101,92.586,-15.37,0.734,0.0551,0.106,0.0283
Death with Dignity,0.51,0.16,0.383,170.063,-21.03,0.986,0.017,0.113,0.0395
Common Love,0.557,0.578,0.215,77.027,-5.558,0.0185,0.0,0.0849,0.0312
Incinerate,0.52,0.858,0.444,76.761,-7.914,0.096,0.588,0.14,0.0358
My Heart Cries - Single Version,0.593,0.465,0.524,103.047,-6.966,0.904,0.00146,0.255,0.0251
"Parsifal, WWV 111: Act I: Prelude",0.102,0.02,0.0295,81.675,-26.28,0.979,0.92,0.167,0.0432
New World Rising,0.793,0.539,0.682,79.985,-6.075,0.0163,1.06e-05,0.031,0.0494
Casual Sex,0.669,0.916,0.862,116.06,-4.228,0.0108,0.0,0.652,0.0488
Fantasy,0.595,0.902,0.958,180.003,-3.656,0.0391,0.0,0.104,0.0785
SUTRA,0.752,0.729,0.83,180.088,-3.228,0.0382,1.81e-06,0.189,0.152
UMI Says,0.72,0.67,0.566,121.342,-10.224,0.305,0.0,0.0928,0.132
